Restaurant Name,Rating_x,Price for Two_x,Rating_y,Price for Two_y
Skylo 9,New,"North Indian, Continental, Italian, Chettinad, Bar Food, Seafood, Desserts, Beverages

₹1,300 for two",New,"North Indian, Continental, Italian, Chettinad, Bar Food, Seafood, Desserts, Beverages

₹1,300 for two"
Independence Brewing Company,4.5,"American, Continental, Pizza, Fast Food, Salad, Beverages

₹2,500 for two",4.5,"American, Continental, Pizza, Fast Food, Salad, Beverages

₹2,500 for two"
1BHK Superbar,4.4,"North Indian, Asian, Italian, European, Continental, Mediterranean, American, Seafood

₹1,800 for two",4.4,"North Indian, Asian, Italian, European, Continental, Mediterranean, American, Seafood

₹1,800 for two"
Nawab Asia,4.4,"North Indian, Chinese, Mughlai, Biryani, Seafood, Desserts, Beverages

₹1,600 for two",4.4,"North Indian, Chinese, Mughlai, Biryani, Seafood, Desserts, Beverages

₹1,600 for two"
Rustic Sands,4.4,"Chinese, North Indian, Biryani, Mughlai, Seafood, Beverages, Desserts

₹1,200 for two",4.4,"Chinese, North Indian, Biryani, Mughlai, Seafood, Beverages, Desserts

₹1,200 for two"
Thikana,4.2,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages

₹1,800 for two",4.2,"North Indian, Italian, Pasta, Continental, Pizza, Biryani, Beverages

₹1,800 for two"
Club C Dock,3.9,"Continental, North Indian, Bar Food

₹3,000 for two",3.9,"Continental, North Indian, Bar Food

₹3,000 for two"
FML - Food Music Love,4.2,"Chinese, Continental, North Indian, Oriental, Italian, Desserts

₹1,900 for two",4.2,"Chinese, Continental, North Indian, Oriental, Italian, Desserts

₹1,900 for two"
Filament Bar,4.5,"Turkish, Middle Eastern, North Indian, Continental, Asian

₹1,800 for two",4.5,"Turkish, Middle Eastern, North Indian, Continental, Asian

₹1,800 for two"
Publiq,4.0,"Asian, North Indian, Italian, Chinese, Biryani, Kebab, Salad, Beverages

₹2,000 for two",4.0,"Asian, North Indian, Italian, Chinese, Biryani, Kebab, Salad, Beverages

₹2,000 for two"
Opel Kitchen Bar,4.2,"North Indian, Bar Food, Continental, Italian, Beverages

₹1,800 for two",4.2,"North Indian, Bar Food, Continental, Italian, Beverages

₹1,800 for two"
Sreca Rooftop Lounge,4.2,"North Indian, Continental, Asian, Bar Food, Seafood

₹1,700 for two",4.2,"North Indian, Continental, Asian, Bar Food, Seafood

₹1,700 for two"
Effingut Bistro,4.4,"Asian, Continental, Finger Food, Beverages, Desserts

₹1,800 for two",4.4,"Asian, Continental, Finger Food, Beverages, Desserts

₹1,800 for two"
Ice N Fire Sky Lounge,4.2,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts

₹1,800 for two",4.2,"Bar Food, Continental, North Indian, Pizza, Burger, Pasta, Chinese, Desserts

₹1,800 for two"
I'M Lion,4.4,"Seafood, Maharashtrian

₹2,000 for two",4.4,"Seafood, Maharashtrian

₹2,000 for two"
Merchant & Me,4.7,"North Indian, Alcoholic Beverages, Kebab, Pizza, Finger Food, Desserts, Beverages

₹2,500 for two",4.7,"North Indian, Alcoholic Beverages, Kebab, Pizza, Finger Food, Desserts, Beverages

₹2,500 for two"
Spice Tawa Family Restaurant,4.1,"North Indian, Goan, Chinese, Pasta, Seafood, Biryani, Fast Food, Desserts

₹1,800 for two",4.1,"North Indian, Goan, Chinese, Pasta, Seafood, Biryani, Fast Food, Desserts

₹1,800 for two"
Mood Drums Kitchen & Bar,4.3,"North Indian, Italian, Alcoholic Beverages, Bar Food, Chinese, Fast Food, Salad

₹1,000 for two",4.3,"North Indian, Italian, Alcoholic Beverages, Bar Food, Chinese, Fast Food, Salad

₹1,000 for two"
Azzurro,4.1,"Fast Food, Chinese, North Indian, Biryani, Continental, Asian, Desserts, Beverages

₹1,200 for two",4.1,"Fast Food, Chinese, North Indian, Biryani, Continental, Asian, Desserts, Beverages

₹1,200 for two"
Santorini by Hilton Garden Inn,4.1,"Mediterranean, Continental, Salad, Pasta, Sandwich, Pizza, Desserts

₹3,500 for two",4.1,"Mediterranean, Continental, Salad, Pasta, Sandwich, Pizza, Desserts

₹3,500 for two"
Tales & Spirits - Hunters Bistro,4.3,"Italian, Continental, North Indian, Biryani, Pizza, Fast Food, Desserts, Beverages

₹1,450 for two",4.3,"Italian, Continental, North Indian, Biryani, Pizza, Fast Food, Desserts, Beverages

₹1,450 for two"
PizzaExpress,4.3,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",4.3,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two"
PizzaExpress,4.3,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two"
Copa Villa,4.4,"North Indian, Asian, Continental, Salad, Seafood, Pasta, Pizza, Oriental

₹1,400 for two",4.4,"North Indian, Asian, Continental, Salad, Seafood, Pasta, Pizza, Oriental

₹1,400 for two"
Eight,4.5,"Chinese, Sushi, Asian, Japanese, Desserts

₹2,000 for two",4.5,"Chinese, Sushi, Asian, Japanese, Desserts

₹2,000 for two"
Circle Of Crust,4.1,"Pizza, Fast Food, Cafe, Desserts, Shake

₹500 for two",4.1,"Pizza, Fast Food, Cafe, Desserts, Shake

₹500 for two"
24K Kraft Brewzz,4.2,"North Indian, Chinese, Mughlai, Pizza, Italian, Seafood, Beverages, Desserts

₹2,500 for two",4.2,"North Indian, Chinese, Mughlai, Pizza, Italian, Seafood, Beverages, Desserts

₹2,500 for two"
The Paraiso,New,"Continental, Chinese, North Indian, Fast Food, Alcoholic Beverages, BBQ, Desserts, Beverages

₹1,500 for two",New,"Continental, Chinese, North Indian, Fast Food, Alcoholic Beverages, BBQ, Desserts, Beverages

₹1,500 for two"
Tim Hortons,4.0,"Coffee, Cafe, Beverages, Desserts, Sandwich, Fast Food

₹600 for two",4.0,"Coffee, Cafe, Beverages, Desserts, Sandwich, Fast Food

₹600 for two"
Mekong Folks,4.6,"Asian, Cantonese, Sushi, Japanese, Chinese, Salad, Seafood, Beverages

₹2,000 for two",4.6,"Asian, Cantonese, Sushi, Japanese, Chinese, Salad, Seafood, Beverages

₹2,000 for two"
Poise,4.4,"Asian, Chinese

₹1,200 for two",4.4,"Asian, Chinese

₹1,200 for two"
Tony Dhaba NXT,3.6,"North Indian, Mughlai, Biryani, Chinese, Seafood, Kebab

₹1,200 for two",3.6,"North Indian, Mughlai, Biryani, Chinese, Seafood, Kebab

₹1,200 for two"
Cafe Blu by Radisson Blu Hinjewadi,4.2,"North Indian, South Indian, Biryani, Goan, Maharashtrian, Pizza, Desserts

₹2,900 for two",4.2,"North Indian, South Indian, Biryani, Goan, Maharashtrian, Pizza, Desserts

₹2,900 for two"
Ruhmani By Hilton Garden Inn,4.2,"North Indian, Chinese, Biryani, Desserts, Beverages

₹3,000 for two",4.2,"North Indian, Chinese, Biryani, Desserts, Beverages

₹3,000 for two"
Good Flippin' Burgers,4.3,"Burger, American, Fast Food, Wraps

₹650 for two",4.3,"Burger, American, Fast Food, Wraps

₹650 for two"
Masala Mehfil,4.5,"Maharashtrian, North Indian, Seafood, Biryani, Beverages, Alcoholic Beverages

₹1,200 for two",4.5,"Maharashtrian, North Indian, Seafood, Biryani, Beverages, Alcoholic Beverages

₹1,200 for two"
The Kuti Project,3.8,"Cafe, Coffee, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages

₹1,100 for two",3.8,"Cafe, Coffee, Pizza, Sandwich, Fast Food, Desserts, Shake, Beverages

₹1,100 for two"
Tetto Manhattan,4.2,"Bar Food, Beverages

₹1,000 for two",4.2,"Bar Food, Beverages

₹1,000 for two"
Tatva The Vegetarian Kitchen,3.9,"North Indian, Chinese, South Indian, Biryani, Street Food, Fast Food, Oriental, Beverages

₹1,000 for two",3.9,"North Indian, Chinese, South Indian, Biryani, Street Food, Fast Food, Oriental, Beverages

₹1,000 for two"
Soy Affair,4.5,"Asian, Chinese, Sushi, Seafood

₹1,000 for two",4.5,"Asian, Chinese, Sushi, Seafood

₹1,000 for two"
Sahara - A Magical dining destination,New,"North Indian

₹1,800 for two",New,"North Indian

₹1,800 for two"
Apna Adda,3.6,"Sandwich, Chinese, North Indian, Maharashtrian, Seafood, Street Food, Biryani

₹1,300 for two",3.6,"Sandwich, Chinese, North Indian, Maharashtrian, Seafood, Street Food, Biryani

₹1,300 for two"
Hidden Place - The Hang-out,4.4,"Fast Food, Pizza, Continental, Bar Food, Beverages

₹1,200 for two",4.4,"Fast Food, Pizza, Continental, Bar Food, Beverages

₹1,200 for two"
The Bierhaus,New,"Pizza, Salad, Sushi

₹1,800 for two",New,"Pizza, Salad, Sushi

₹1,800 for two"
Flo - The Brewing Club,4.2,"Bar Food, Chinese, Pizza, Biryani

₹3,000 for two",4.2,"Bar Food, Chinese, Pizza, Biryani

₹3,000 for two"
Golden Palms,New,"North Indian, Chinese, Seafood

₹1,500 for two",New,"North Indian, Chinese, Seafood

₹1,500 for two"
Toscano,4.8,"Italian, Pizza, Pasta, Continental, Seafood, Steak, Beverages

₹1,800 for two",4.8,"Italian, Pizza, Pasta, Continental, Seafood, Steak, Beverages

₹1,800 for two"
The Green Spoon,New,"North Indian, Chinese, Pizza

₹1,000 for two",New,"North Indian, Chinese, Pizza

₹1,000 for two"
Uncle's Chinese,4.5,"Chinese, Oriental, Seafood, Cantonese, Sichuan, Asian, Thai, Singaporean

₹1,500 for two",4.5,"Chinese, Oriental, Seafood, Cantonese, Sichuan, Asian, Thai, Singaporean

₹1,500 for two"
Falahaar,3.6,"Maharashtrian

₹200 for two",3.6,"Maharashtrian

₹200 for two"
Qala Cafe & Co - Works,4.3,"Cafe, Coffee, Italian, Continental, Pizza, Fast Food, Salad, Beverages

₹1,000 for two",4.3,"Cafe, Coffee, Italian, Continental, Pizza, Fast Food, Salad, Beverages

₹1,000 for two"
Outdo Restro,New,"Pizza, Burger, Beverages

₹800 for two",New,"Pizza, Burger, Beverages

₹800 for two"
The Rustle Nest,4.4,"Continental, North Indian, European, Biryani, Pasta, Sandwich, Desserts, Beverages

₹950 for two",4.4,"Continental, North Indian, European, Biryani, Pasta, Sandwich, Desserts, Beverages

₹950 for two"
The Secret Garden,4.1,"Italian, Korean

₹1,000 for two",4.1,"Italian, Korean

₹1,000 for two"
The Wise Guys,4.4,"North Indian, Chinese, Pasta, Fast Food, Bar Food, Desserts, Shake, Beverages

₹1,700 for two",4.4,"North Indian, Chinese, Pasta, Fast Food, Bar Food, Desserts, Shake, Beverages

₹1,700 for two"
Asia Kitchen By Mainland China,4.5,"Asian, Chinese, Sushi, Thai, Japanese, Beverages

₹1,500 for two",4.5,"Asian, Chinese, Sushi, Thai, Japanese, Beverages

₹1,500 for two"
The Soundtrack Cafe,4.3,"Cafe, Coffee, Beverages, Continental, Italian, Fast Food

₹1,000 for two",4.3,"Cafe, Coffee, Beverages, Continental, Italian, Fast Food

₹1,000 for two"
Incognito - Restaurant Bar & Cafe,4.4,"Continental, Asian, Italian, Thai, North Indian, Biryani, Desserts, Beverages

₹2,500 for two",4.4,"Continental, Asian, Italian, Thai, North Indian, Biryani, Desserts, Beverages

₹2,500 for two"
Intactu Lounge,3.7,"North Indian, Continental, European

₹1,000 for two",3.7,"North Indian, Continental, European

₹1,000 for two"
Pop Tate's,4.5,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Beverages

₹1,400 for two",4.5,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Beverages

₹1,400 for two"
Rangla Punjab,4.3,"North Indian, Kebab, Mughlai, Biryani, Chinese, Desserts

₹950 for two",4.3,"North Indian, Kebab, Mughlai, Biryani, Chinese, Desserts

₹950 for two"
Dragonfly - Radisson Blu,4.5,"Asian, Japanese, Indonesian, Korean, Malaysian, Singaporean, Thai

₹3,500 for two",4.5,"Asian, Japanese, Indonesian, Korean, Malaysian, Singaporean, Thai

₹3,500 for two"
Butter - Bar & Kitchen,4.3,"Asian, Italian, Chinese, Sushi, Japanese, Beverages

₹1,800 for two",4.3,"Asian, Italian, Chinese, Sushi, Japanese, Beverages

₹1,800 for two"
Springrose Restaurant And Banquets,4.6,"South Indian, Continental, Oriental, North Indian

₹1,200 for two",4.6,"South Indian, Continental, Oriental, North Indian

₹1,200 for two"
The Curry Club,3.9,"North Indian, Maharashtrian, South Indian

₹1,200 for two",3.9,"North Indian, Maharashtrian, South Indian

₹1,200 for two"
PizzaExpress,4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",4.3,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two"
PizzaExpress,4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two",4.2,"Pizza, Italian, Salad, Bakery, Beverages, Coffee, Pasta, Cafe

₹1,400 for two"
Ora Skybar & Kitchen,4.2,"North Indian, BBQ, Chinese, Continental, Asian, Pizza, Beverages

₹1,800 for two",4.2,"North Indian, BBQ, Chinese, Continental, Asian, Pizza, Beverages

₹1,800 for two"
De Lush Leaf,3.9,"Pizza, Panini, Salad, Healthy Food, Chinese, Wraps, Coffee, Beverages

₹750 for two",3.9,"Pizza, Panini, Salad, Healthy Food, Chinese, Wraps, Coffee, Beverages

₹750 for two"
Tatini,New,"Bar Food, Continental, Asian, Seafood, Mughlai, Chinese, Desserts, Beverages

₹1,200 for two",New,"Bar Food, Continental, Asian, Seafood, Mughlai, Chinese, Desserts, Beverages

₹1,200 for two"
Global Punjab,4.0,"North Indian, Mughlai, Kebab, Seafood, Biryani, Chinese, Desserts, Beverages

₹1,100 for two",4.0,"North Indian, Mughlai, Kebab, Seafood, Biryani, Chinese, Desserts, Beverages

₹1,100 for two"
Shree Krishna Veg Court,4.0,"North Indian, South Indian, Maharashtrian, Chinese, Desserts, Beverages

₹1,200 for two",4.0,"North Indian, South Indian, Maharashtrian, Chinese, Desserts, Beverages

₹1,200 for two"
Buon Cibo- The Italian Cafe,4.6,"Mexican, Italian, Continental, Pizza, Pasta

₹850 for two",4.6,"Mexican, Italian, Continental, Pizza, Pasta

₹850 for two"
Midori Coffee And Eatery,4.1,"Cafe, Coffee

₹1,000 for two",4.1,"Cafe, Coffee

₹1,000 for two"
The Urban Foundry,4.5,"Bar Food, North Indian, Pizza, Fast Food, Desserts, Beverages

₹2,500 for two",4.5,"Bar Food, North Indian, Pizza, Fast Food, Desserts, Beverages

₹2,500 for two"
Namah - Hotel Ambience Excellency,4.0,"North Indian, Chinese, Continental, South Indian, Shake, Beverages

₹1,400 for two",4.0,"North Indian, Chinese, Continental, South Indian, Shake, Beverages

₹1,400 for two"
Cloud 99,4.4,"North Indian, Mughlai, Seafood, Italian, Japanese, Chinese, Salad, Desserts

₹1,200 for two",4.4,"North Indian, Mughlai, Seafood, Italian, Japanese, Chinese, Salad, Desserts

₹1,200 for two"
Varhadi Thaat Family Restaurant,3.8,"Maharashtrian, Saoji, North Indian

₹300 for two",3.8,"Maharashtrian, Saoji, North Indian

₹300 for two"
Bell Bottom Family Resto And Lounge,4.0,"North Indian, Kebab, Chinese, Seafood, Street Food

₹500 for two",4.0,"North Indian, Kebab, Chinese, Seafood, Street Food

₹500 for two"
The Irish House,4.2,"Continental, Mediterranean

₹2,500 for two",4.2,"Continental, Mediterranean

₹2,500 for two"
Fatcook,4.3,"Italian, Mexican, Oriental, Pasta, North Indian, Kebab, Desserts, Beverages

₹700 for two",4.3,"Italian, Mexican, Oriental, Pasta, North Indian, Kebab, Desserts, Beverages

₹700 for two"
The Ruby Hilltop - Sunny's World,4.4,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts

₹1,600 for two",4.4,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts

₹1,600 for two"
Vibe Bar & Grill- Courtyard By Marriott Pune Hinjawadi,4.5,"Continental, North Indian, Seafood, American, BBQ, Bar Food, Burger, Desserts

₹3,000 for two",4.5,"Continental, North Indian, Seafood, American, BBQ, Bar Food, Burger, Desserts

₹3,000 for two"
Aromas Cafe & Bistro,4.5,"Continental, Burger, Sandwich, Pizza, Italian, Arabian, Salad, Desserts

₹1,000 for two",4.5,"Continental, Burger, Sandwich, Pizza, Italian, Arabian, Salad, Desserts

₹1,000 for two"
5ive The Skybar By Radisson,4.2,"North Indian, Chinese, Biryani, Tex-Mex, Spanish, Mexican, Pizza, Desserts

₹3,000 for two",4.2,"North Indian, Chinese, Biryani, Tex-Mex, Spanish, Mexican, Pizza, Desserts

₹3,000 for two"
Casa De Silver,4.5,"North Indian, Mughlai, Mexican, American, Chinese, South Indian, Seafood, Beverages

₹1,400 for two",4.5,"North Indian, Mughlai, Mexican, American, Chinese, South Indian, Seafood, Beverages

₹1,400 for two"
The Chinese Wok,4.0,"Chinese, Asian, Oriental, Seafood, Sichuan

₹300 for two",4.0,"Chinese, Asian, Oriental, Seafood, Sichuan

₹300 for two"
Crafted By Hilton Garden Inn,4.0,"Bar Food, Continental, Italian, Modern Indian, Asian

₹3,600 for two",4.0,"Bar Food, Continental, Italian, Modern Indian, Asian

₹3,600 for two"
Bird Valley,4.2,"North Indian, Chinese, Continental, Mughlai, Kebab, Biryani, Desserts, Beverages

₹1,800 for two",4.2,"North Indian, Chinese, Continental, Mughlai, Kebab, Biryani, Desserts, Beverages

₹1,800 for two"
Hi On Chai,4.0,"Cafe, Coffee, Pizza, Burger, Pasta, Fast Food, Desserts, Beverages

₹400 for two",4.0,"Cafe, Coffee, Pizza, Burger, Pasta, Fast Food, Desserts, Beverages

₹400 for two"
Darshan,4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages

₹950 for two",4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages

₹950 for two"
Goodluck Lunch Home,-,"Maharashtrian, North Indian, Chinese, Mughlai, Biryani, Beverages

₹600 for two",-,"Maharashtrian, North Indian, Chinese, Mughlai, Biryani, Beverages

₹600 for two"
Urbo,4.2,"North Indian, Mughlai, Asian, Pizza, Italian, Chinese, Biryani, Desserts

₹2,000 for two",4.2,"North Indian, Mughlai, Asian, Pizza, Italian, Chinese, Biryani, Desserts

₹2,000 for two"
24/7 Gallery Café - Hyatt Place,3.7,"Asian, Chinese, Italian, North Indian, Oriental, Healthy Food, Desserts, Beverages

₹2,500 for two",3.7,"Asian, Chinese, Italian, North Indian, Oriental, Healthy Food, Desserts, Beverages

₹2,500 for two"
Atithi Veg,3.3,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages

₹1,000 for two",3.3,"North Indian, Chinese, Continental, South Indian, Fast Food, Biryani, Desserts, Beverages

₹1,000 for two"
